,Name,Price,Genres,Release date,Average playtime forever,Positive,Negative
2846790,"Mar 10, 2024",60,"Action,Adventure,Indie",20000 - 50000,0,71,15
2561770,"Sep 7, 2023",51,"Indie,Simulation,Strategy",0 - 20000,0,24,3
45200,"Aug 25, 2020",0,"Casual,Strategy",200000 - 500000,0,52,4
2429360,"Jun 26, 2023",0,"Indie,Early Access",0 - 20000,0,2,0
3914410,"Aug 14, 2025",26,Casual,0 - 20000,0,0,0
275830,"Feb 18, 2014",67,"Casual,Strategy",50000 - 100000,99,108,12
2380310,"Nov 6, 2023",60,"Adventure,Casual,Indie",0 - 20000,0,192,8
339440,"Feb 12, 2016",0,"Action,Indie,Early Access",0 - 20000,410,202,27
765620,"Dec 31, 2017",0,"Casual,Indie",0 - 20000,3,2,7
1564600,"Oct 3, 2024",40,"Action,Adventure,Indie,Simulation,Early Access",20000 - 50000,1349,836,87
